0,1,2,3,4,5,6,7
infinitive,granular,,,,,,
gerund,granulando,,,,,,
past participle,,masculine,feminine,,,,
singular,granulado,granulada,,,,,
plural,granulados,granuladas,,,,,
,singular,plural,,,,,
1st person,2nd person,3rd person,1st person,2nd person,3rd person,,
indicative,,yo,túvos,él/ellausted,nosotrosnosotras,vosotrosvosotras,ellos/ellasustedes
present,granulo,granulastúgranulásvos,granula,granulamos,granuláis,granulan,
imperfect,granulaba,granulabas,granulaba,granulábamos,granulabais,granulaban,
preterite,granulé,granulaste,granuló,granulamos,granulasteis,granularon,
future,granularé,granularás,granulará,granularemos,granularéis,granularán,
conditional,granularía,granularías,granularía,granularíamos,granularíais,granularían,
,,,,,,,
subjunctive,,yo,túvos,él/ellausted,nosotrosnosotras,vosotrosvosotras,ellos/ellasustedes
present,granule,granulestúgranulésvos1,granule,granulemos,granuléis,granulen,
imperfect(ra),granulara,granularas,granulara,granuláramos,granularais,granularan,
imperfect(se),granulase,granulases,granulase,granulásemos,granulaseis,granulasen,
future,granulare,granulares,granulare,granuláremos,granulareis,granularen,
,,,,,,,
imperative,,—,túvos,usted,nosotrosnosotras,vosotrosvosotras,ustedes
affirmative,,granulatúgranulávos,granule,granulemos,granulad,granulen,
negative,,no granules,no granule,no granulemos,no granuléis,no granulen,
