0,1,2,3,4,5,6,7,8
audio,,(file),,,,,,
,Indicative,Imperative,,,,,,
person,Present,Past,Future,,,,,
,Masculine,Feminine,Neuter,,,,,
animate,inanimate,,,,,,,
I,dělám,dělal jsem,dělala jsem,dělalo jsem,budu dělat,—,,
you (singular),děláš,dělal jsi,dělala jsi,dělalo jsi,budeš dělat,dělej,,
you (polite),děláte,dělal jste,dělala jste,dělalo jste,budete dělat,dělejte,,
he/she/it,dělá,dělal,dělala,dělalo,bude dělat,—,,
we,děláme,dělali jsme,dělaly jsme,dělala jsme,budeme dělat,dělejme,,
you (plural),děláte,dělali jste,dělaly jste,dělala jste,budete dělat,dělejte,,
they,dělají,dělali,dělaly,dělaly,dělala,budou dělat,—,
,Conditional,,,,,,,
person,Present,Past,,,,,,
Masculine,Feminine,Neuter,Masculine,Feminine,Neuter,,,
animate,inanimate,animate,inanimate,,,,,
I,dělal bych,dělala bych,dělalo bych,byl bych dělal,byla bych dělala,bylo bych dělalo,,
you (singular),dělal bys,dělala bys,dělalo bys,byl bys dělal,byla bys dělala,bylo bys dělalo,,
you (polite),dělal byste,dělala byste,dělalo byste,byl byste dělal,byla byste dělala,bylo byste dělalo,,
he/she/it,dělal by,dělala by,dělalo by,byl by dělal,byla by dělala,bylo by dělalo,,
we,dělali bychom,dělaly bychom,dělala bychom,byli bychom dělali,byly bychom dělaly,byla bychom dělala,,
you (plural),dělali byste,dělaly byste,dělala byste,byli byste dělali,byly byste dělaly,byla byste dělala,,
they,dělali by,dělaly by,dělaly by,dělala by,byli by dělali,byly by dělaly,byly by dělaly,byla by dělala
,Participle,,,,,,,
Number,Active (Perfect),Passive,,,,,,
Masculine,Feminine,Neuter,Masculine,Feminine,Neuter,,,
animate,inanimate,animate,inanimate,,,,,
singular,dělal,dělala,dělalo,dělán,dělána,děláno,,
plural,dělali,dělaly,dělaly,dělala,děláni,dělány,dělány,dělána
,transgressive present,transgressive past,,,,,,
Number,Masculine,Feminine,Masculine,Feminine,,,,
singular,dělaje,dělajíc,dělav,dělavši,,,,
plural,dělajíce,dělavše,,,,,,
,Infinitive,Verbal adjective,Gerund,,,,,
,dělat,dělající,dělání,,,,,
udělat  vydělat  prodělat  rozdělat  zadělat  dodělat  padělat  nadělat,,dělník m  výdělek m,,dělný m,,,,
